koi_fpflag_nt,koi_fpflag_co,koi_fpflag_ss,koi_model_snr,koi_fpflag_ec,koi_impact
0,0,0,35.8,0,0.146
0,0,0,25.8,0,0.586
0,0,1,76.3,0,0.9690000000000001
0,0,1,505.6,0,1.276
0,0,0,40.9,0,0.701
0,0,0,66.5,0,0.5379999999999999
0,0,0,40.2,0,0.762
0,0,0,15.0,0,0.755
0,1,1,47.7,0,1.169
0,0,0,161.9,0,0.052000000000000005
0,0,0,4304.3,0,0.818
0,0,1,5945.9,0,0.22399999999999998
0,0,0,1741.5,0,0.631
0,0,0,50.6,0,0.051
0,0,1,622.1,0,2.483
0,0,1,214.7,0,0.804
0,0,1,2317.0,0,1.065
0,0,1,303.4,0,0.292
0,0,0,87.2,0,0.387
0,0,0,65.4,0,0.258
0,1,1,48.2,1,0.044000000000000004
0,0,0,60.6,0,0.092
0,0,0,28.9,0,0.226
0,0,0,14.1,0,0.025
0,0,1,994.0,0,0.9765
0,0,0,34.3,0,0.8959999999999999
0,0,0,28.2,0,0.71
0,0,0,61.8,0,0.424
0,1,0,181.1,0,0.86
1,0,0,642.7,0,0.701
0,0,1,85.3,0,1.248
0,0,0,34.7,0,0.46799999999999997
0,0,0,51.2,0,0.045
0,0,0,47.1,0,0.105
0,0,0,33.2,0,0.799
0,0,0,80.0,0,0.021
0,0,0,19.1,0,0.606
0,0,0,696.5,0,0.831
0,1,1,48.3,0,1.016
0,0,0,29.5,0,0.312
0,0,1,513.4,0,0.723
0,0,0,166.7,0,0.787
0,0,0,141.1,0,0.355
0,0,0,43.4,0,0.023
0,0,0,128.6,0,0.597
0,0,0,1406.8,0,0.105
0,1,1,236.1,0,0.812
0,0,0,35.6,0,0.151
0,0,0,71.1,0,0.405
0,0,0,37.9,0,0.9109999999999999
0,0,0,48.2,0,0.602
0,0,0,88.4,0,0.866
0,0,0,47.1,0,0.898
0,0,1,835.6,0,0.13699999999999998
0,0,0,28.9,0,0.001
0,0,0,38.7,0,0.040999999999999995
0,0,0,21.7,0,0.027999999999999997
0,0,0,345.2,0,0.5579999999999999
0,0,0,36.9,0,0.9109999999999999
0,0,0,38.9,0,0.915
0,0,1,745.2,0,0.324
0,0,0,82.4,0,0.28
0,0,0,13.7,0,1.198
0,0,0,8.7,0,0.624
0,0,0,71.0,0,0.679
0,0,0,221.1,0,0.39
0,0,0,312.1,0,0.547
0,0,0,37.1,0,0.031
0,0,0,30.3,0,0.628
0,0,0,35.8,0,0.883
0,0,0,83.7,0,0.852
0,1,1,39.0,0,1.213
0,0,0,103.6,0,1.26
0,0,0,64.5,0,0.023
0,0,0,51.5,0,0.012
0,0,0,47.6,0,0.022000000000000002
0,0,0,20.1,0,0.094
0,0,0,277.2,0,0.55
0,0,1,112.6,0,1.268
0,1,1,38.2,0,1.215
0,0,0,38.9,0,0.23800000000000002
0,0,0,50.8,0,0.838
0,1,1,299.7,1,1.258
0,0,0,183.6,0,0.92
0,0,0,35.2,0,0.556
0,0,0,26.0,0,0.013000000000000001
0,0,0,17.1,0,0.95
0,0,0,15.9,0,0.708
0,0,0,370.8,0,0.524
0,0,0,32.1,0,0.4
0,0,0,799.7,0,0.076
0,0,0,340.5,0,0.45799999999999996
1,1,0,14.2,0,1.175
0,0,0,53.9,0,0.024
0,0,1,636.8,0,0.281
0,0,0,138.8,0,0.379
0,0,0,14.4,0,0.6459999999999999
0,0,0,347.2,0,0.22399999999999998
0,1,0,38.8,1,1.225
0,1,0,48.5,1,0.013999999999999999
0,0,0,1009.3,0,0.514
0,0,0,70.6,0,0.003
0,0,0,78.5,0,0.26
0,0,0,71.6,0,0.466
0,1,1,64.9,0,1.255
0,0,0,46.1,0,0.08
0,0,0,50.6,0,0.529
0,0,0,28.5,0,0.9490000000000001
0,0,0,39.7,0,0.9109999999999999
0,0,0,1996.7,0,0.12
0,0,0,76.8,0,0.934
0,0,0,113.2,0,0.517
0,0,0,27.5,0,0.41600000000000004
